Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,W,L,T,Matches Played,CCWM
1,56,35,204,125,152,580,12,0,0,12,19.58
2,1923,32,250,130,141,590,10,2,0,12,21.63
3,3637,32,220,135,135,610,9,3,0,12,25.52
4,11,29,216,120,121,640,9,3,0,12,24.99
5,219,27,218,120,67,575,9,3,0,12,19.59
6,2554,26,216,95,96,545,9,3,0,12,16.96
7,193,26,186,105,95,555,9,3,0,12,12.57
8,222,25,240,145,144,640,7,5,0,12,14.47
9,4653,25,178,130,95,585,8,4,0,12,22.25
10,1257,25,174,115,114,565,8,4,0,12,11.75
11,75,24,154,130,60,495,8,4,0,12,3.26
12,5624,23,226,110,129,585,7,5,0,12,4.1
13,1676,23,186,95,85,510,7,5,0,12,2.91
14,1811,23,160,120,155,535,7,5,0,12,5.51
15,6016,23,144,130,68,540,7,5,0,12,0.82
16,4361,20,180,95,69,530,6,6,0,12,-0.48
17,41,19,222,105,174,540,6,6,0,12,16.46
18,303,19,216,120,107,550,5,7,0,12,2.35
19,1143,19,158,125,124,510,5,7,0,12,3.77
20,223,19,158,100,81,535,5,7,0,12,-6
21,3340,19,102,95,36,490,6,6,0,12,-2.95
22,4573,18,220,200,137,495,6,6,0,12,10.59
23,2600,18,190,100,66,465,6,6,0,12,-3.67
24,1403,18,156,135,96,490,5,7,0,12,1.04
25,1279,18,140,100,96,495,5,7,0,12,-1.27
26,6015,16,160,125,68,480,4,8,0,12,-12.97
27,613,16,124,105,91,460,5,7,0,12,-22.55
28,224,15,194,60,97,495,5,7,0,12,0.33
29,3515,15,154,70,47,435,5,7,0,12,-24.29
30,2070,15,138,95,72,475,5,7,0,12,-13.7
31,4035,15,120,115,46,415,5,7,0,12,-13.33
32,4281,14,190,130,115,470,5,7,0,12,-4.49
33,3142,13,142,100,130,430,3,9,0,12,-14.31
34,1228,13,106,95,65,405,4,8,0,12,-13.7
35,2577,11,136,80,94,440,4,8,0,12,-19.97
36,5310,10,120,110,57,465,2,10,0,12,-23.81
37,4285,9,134,90,41,425,2,10,0,12,-21.53
38,4475,9,126,75,60,415,3,9,0,12,-20.18
39,752,6,144,60,58,475,1,11,0,12,-21.24
